,Rank,City,Population
871,872 TIE ,College Corner and Cumberland,339
872,873,Port William,338
873,874,Vincent,337
874,875 TIE ,"Hoytville, Green Camp, and Chickasaw",336
875,876,Camp Dennison,335
876,877 TIE ,Magnetic Springs and Dellroy,334
877,878 TIE ,Dupont and Athalia,333
878,879 TIE ,"Pitsburg, New Marshfield, and Bascom",330
879,880,Adelphi,329
880,881 TIE ,Millfield and Vanlue,328
881,882 TIE ,Cherry Fork and Kunkle,326
882,883 TIE ,Hannibal and New Athens,325
883,884,Hartford (Croton),323
884,885,Buckland,321
885,886,East Liberty,320
886,887 TIE ,"Holmesville, New Haven CDP, and Senecaville",314
887,888 TIE ,Wilmot and Lore City,313
888,889,Fayetteville,311
889,890 TIE ,Hills and Dales and Mitiwanga,310
890,891,New Alexandria,309
891,892,Higginsport,308
892,893 TIE ,Midland and Plumwood,307
893,894 TIE ,North Robinson and Aquilla,306
894,895 TIE ,Zaleski and Potsdam,305
895,896,Holloway,302
896,897 TIE ,Elizabethtown and Uniopolis,299
897,898,Scott,298
898,899 TIE ,"Marengo, Chatfield, and Clay Center",294
899,900 TIE ,Whites Landing and Carbon Hill,291
900,901,Fulton,288
901,902 TIE ,South Salem and Malinta,287
902,903,Maplewood Park,286
903,904 TIE ,Osgood and Leesville,284
904,905 TIE ,Glenmont and New Riegel,282
905,906,New Hampshire,280
906,907 TIE ,Ludlow Falls and Helena,279
907,908,Damascus,278
908,909,Olde West Chester,276
909,910,Waldo,275
910,911,Castine,270
911,912 TIE ,"Vinton, Lewistown, and Burbank",267
912,913,Burkettsville,266
913,914 TIE ,Miamiville and East Springfield,264
914,915,Haviland,263
915,916 TIE ,"Berkey, Woodstock, and Zanesfield",261
916,917,Robertsville,260
917,918,Ney,256
918,919,Lakeline,253
919,920,Fresno,251
920,921 TIE ,Custar and Rogers,249
921,922,Rossburg,248
922,923,Unionville Center,243
923,924 TIE ,"Palestine, Catawba, and Old Fort",242
924,925 TIE ,Connorville and Tarlton,241
925,926,Kipton,240
926,927 TIE ,Nettle Lake and West Rushville,239
927,928 TIE ,"Summerfield, Winesburg, and Limaville",238
928,929,Bentonville,237
929,930,Kelleys Island,236
930,931 TIE ,Melrose and Orient,235
931,932 TIE ,McCutchenville and Morristown,233
932,933,Empire,231
933,934 TIE ,Belle Valley and Gratiot,226
934,935 TIE ,"Martinsburg, Butlerville, and Roswell",224
935,936 TIE ,"Burgoon, Casstown, and Bourneville",223
936,937,Chesterville,219
937,938 TIE ,Sandyville and North Star,218
938,939 TIE ,Lafayette CDP and Tiro,215
939,940,Hollansburg,214
940,941,Lewisville,213
941,942 TIE ,West Leipsic and Macksburg,211
942,943 TIE ,"Dundee, Parral, St. Martin, and Glenford",209
943,944,Harrisville,206
944,945 TIE ,"Congress, St. Johns, and Fultonham",202
945,946 TIE ,Sugar Bush Knolls and Gilboa,199
946,947,Vaughnsville,197
947,948,Hanging Rock,196
948,949 TIE ,Sherrodsville and Lockbourne,195
949,950,Rosewood,194
950,951 TIE ,"Florida, Radnor, and Buford",190
951,952,Tedrow,189
952,953 TIE ,"Patterson, Negley, and West Elkton",188
953,954,Pleasant Plain,187
954,955,Rarden,186
955,956 TIE ,"Raymond, Mount Cory, and Lockington",185
956,957 TIE ,Fort Seneca and Trinway,184
957,958,Howard,183
958,959,Valley Hi,181
959,960,Orangeville,180
960,961 TIE ,Cheshire and Flat Rock,177
961,962 TIE ,"Plainville, Darbyville, Cloverdale, and Sparta",175
962,963,Good Hope,173
963,964,Jenera,171
964,965,Bloomingdale,170
965,966,Harpster,169
966,967 TIE ,Mount Eaton and Rochester,168
967,968 TIE ,Wilkesville and Sinking Spring,167
968,969,Hessville,166
969,970 TIE ,Alvordton and North Lawrence,164
970,971,Gordon,163
971,972,West Millgrove,162
972,973,Linndale,160
973,974 TIE ,Kettlersville and Amesville,158
974,975,Milton Center,157
975,976,Stone Creek,156
976,977 TIE ,Parkman and Glencoe,154
977,978,Dola,149
978,979 TIE ,"Pottery Addition, Zoar, and Latty",147
979,980 TIE ,Vickery and East Rochester,142
980,981,Kanauga,141
981,982,Nashville,139
982,983,Adamsville,138
983,984 TIE ,Bladensburg and Hemlock,134
984,985,Bannock,133
985,986,Mifflin,132
986,987,Venedocia,127
987,988,Cecil,126
988,989 TIE ,Nellie and Wren,125
989,990,Lower Salem,123
990,991,Miller City,122
991,992 TIE ,"Lafferty, Hockingport, and Gann (Brinkhaven)",120
992,993,Broughton,119
993,994 TIE ,Brownsville and Clifton,116
994,995 TIE ,Jerusalem and Sarahsville,115
995,996 TIE ,Newport and Plainfield,114
996,997,Bairdstown,113
997,998 TIE ,Norwich and Mutual,112
998,999 TIE ,"Sulphur Springs, Rose Farm, and Montezuma",111
999,"1,000 TIE ",Wilson and Milledgeville,108
1000,"1,001 TIE ","Miltonsburg, Celeryville, and Pulaski",107
1001,"1,002",Yorkshire,101
1002,"1,003",Crystal Rock,99
1003,"1,004 TIE ","New Bavaria, Stafford, and Tippecanoe",98
1004,"1,005",Summitville,97
1005,"1,006 TIE ","Chilo, Kirby, and Elgin",96
1006,"1,007",New Weston,95
1007,"1,008",Oceola,91
1008,"1,009",Salesville,89
1009,"1,010",Blakeslee,88
1010,"1,011 TIE ",Moscow and Yankee Lake,87
1011,"1,012",Belmore,86
1012,"1,013",Marseilles,85
1013,"1,014",Fairview,83
1014,"1,015",Brice,80
1015,"1,016",Antioch,79
1016,"1,017",Melmore,78
1017,"1,018",Put-in-Bay,71
1018,"1,019",Centerville (Thurman),67
1019,"1,020",Batesville,66
1020,"1,021 TIE ",Pancoastburg and Kimbolton,65
1021,"1,022 TIE ",Rome (Stout) and Rockbridge,64
1022,"1,023",Dexter City,63
1023,"1,024",Ithaca,62
1024,"1,025",Neville,61
1025,"1,026",Graysville,60
1026,"1,027",Harbor View,59
1027,"1,028 TIE ",Kansas and Jacksonburg,52
1028,"1,029",Octa,51
1029,"1,030",Wightmans Grove,43
1030,"1,031",Deersville,38
1031,"1,032",Otway,32
1032,"1,033",Kilbourne,19
1033,"1,034",Holiday City,17
1034,"1,035",Beulah Beach,11
1035,"1,036",Rendville,10
